,age,body_type,diet,drinks,drugs,education,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
1135,55,full figured,mostly anything,rarely,never,graduated two year college,really nice woman love meet really nice man want fun travel enjoy romantic time together someone talk like kiss cuddle saturday morning enjoy breakfast bed together man like take walk together little dog love sitting water sweetie enjoying wave sitting beach enjoying hot sun enjoy touching holding hand old school music slow dancing marvin gaye tammy terrell cooking special dinner peach cobbler joy love share someone reading good book together beat watching movie,work hard enjoy working life play,still thinking question,dimple lip,love patricia cornwell love italian food sea food smooth jazz old school,soap water dog child car lipstick money,future travel world peace help motivate people,relax home usually work saturday,love men love romance,serious,black native american white,62,70000,sale marketing biz dev,2012 06 27 15 21,oakland california,kid,straight,dog,christianity serious,,aquarius doesn rsquo matter,,english fluently,single
1142,39,thin,mostly anything,socially,sometimes,graduated college university,smart serious romantic hopeless spontaneous road trip make exceedingly happy seek new expereinces especially make heart beat faster favorite thing irreverence word green tea short story live music peony farmer market flick dress party garden getting dirty architecture bbc midnight bike ride berlin collectible american ceramic manner cooking modern art backpacking meteor shower kcrw dancing trampoline handstand firefly tree climbing kissing elipses dog named alice little bit everywhere east coast born midwest raised spent summer south returned east school ve lived chicago firenze dc boston nyc san francisco 14 year santa monica now berkeley arrived back bay living bi latitudinally past year,feel incredibly lucky love living good figuring mean happy grateful instead focusing stuff don,clever wordsmith keen eye design stay calm everyone freaking good listener loyal friend ve told fantastic kisser give good phone love creating cooking throwing party traveling new place reading map finding way lost present pay attention ve learned good anything afraid make thing go,crooked smile,call old fashioned read lot right now deep deborah davis strapless catching impressive stack new yorkers favorite save time traveler wife good soldier brief wondrous life oscar wao drown blindness road lay dying dracula garden eden indecision disgrace woman walked door fup equal music anything boyle joan didion home alice munro miranda july music yes especially dance tv fun small dos house lie wilfred deadwood brilliant moonrise kingdom 50 50 carnage melancholia hugo beginner shame blue valentine housemaid let right one original elephant living room semi recent film faves time favorite donnie darko last tango paris chinatown wonderful life princess bride royal tenenbaums head rachel getting married magnolia broken embrace awful truth crash grease yes true blade runner evil dead ii iron giant child men bonnie clyde harold maude brazil city god talk district reconstruction revolutionary road invasion body snatcher winter bone ice storm miller crossing taxi driver wall old school harold lloyd adventurous eater yet meet spice vegetable animal didn exception maybe foie gras veal oh octopus either smart,laughter someone got back something write connectedness mystery wildness beauty freedom break rule,traveling globe make different secret tell don difference people say seem smart enough solve world problem busy shopping online really nearly billion people planet yet difficult form authentic connection,typical see develops,know word rent soundtrack,consider lucky edge share time food story secret dream know play good food important glass half full optimistic realist care going backyard world maybe run bike surf meditate regularly something ground overloaded yoga pilate long hike pooch keep sane list aside searching certain spark unmistakable knowing defies explanation logic ve definitely felt different time life know hope find,white,67,,artistic musical writer,2012 06 29 20 18,berkeley california,doesn rsquo kid might want,straight,dog,agnosticism,,leo rsquo fun think,,english fluently spanish poorly italian poorly,single
1149,42,average,anything,socially,never,graduated college university,change world point life enjoy,,figuring thing job bit jack trade master,probably two dog,old school tommy boy blade runner arthur generally prefer movie laser beam machine gun booby food thai mexican grubbin diner food biscuit gravy super fancy restaurant,dog tree internet word yes fuck,dog adventure photography video production sex dude food,hopefully working,question look right read sex question,got time diva profile name re hanging bunch dude pic real life think cute mean ruggedly handsome maybe look act good girl inside re kinda naughty better yet want good stuff think might substance profile dog aren fucking pain as,white,71,,entertainment medium,2012 06 30 01 16,oakland california,doesn rsquo kid want,straight,dog,somewhat serious,,aquarius rsquo fun think,,english fluently,single
1150,19,fit,mostly anything,socially,never,working college university,best atmosphere one write play guitar especially sunny friendly caring full energy love laughing others reason particular invest lot time chatting homeless people usually best story sometimes great day will grab friend visit sf hopefully check sick street performer moving ten time ve seen several side immensely appreciate different people laughter incredibly contagious bisexual mean le heterosexual straight man mean open men woman doesn mean ll problem commitment relationship will something will focus energy create meaningful bond two soul love sporadic enjoy one another twisted existence,currently discovering new thing world interesting people day helped beautiful lady door elevator heavy keep hand walker even though little bit older clicked instantly flow college student discovering medium partying studying ideally will save world surgeon superpower shoot evildoer civil right eye laser enjoying fresh sight graffiti breathing san francisco air trying new thai restaurant friend taking walk different path every day see ground feel,writing wonderland insane child talking animal sketching life don know impersonating voice listening making people laugh screaming bohemian rhapsody spontaneously jumping new event bear hugging cuddling,common quote love laugh least common quote stop hitting grandma,book harry potter girl dragon tattoo geek love stranger animal farm kite runner thousand splendid sun waiting godot first page american psycho movie pan labyrinth edward scissorhands take cake bridemaids female trouble airplane make day matter mood show adventure time drawn together blunt wittiness usually don watch tv music radiohead nirvana queen led zeppelin nk gorillaz lana del rey gun rose system avenged sevenfold beach boy adele tracy chapman aretha franklin food anything love sushi mexican food breathing spicy food great right amount water,headphone pushing limit cup coffee guitar craft knife laughing buddy,dinner differently next day next punchline deal increasing poverty oppression third world country,dancing wildly one room dance birthday suit walking street late night wearing top hat mustache armed old english accent giving piggy back ride decent price making alpaca noise generally enjoy spending time friend pretty much anything love exploring friend suggests go check insane dumpster ve never seen,eleven right outside middle school homeless chill wall one favorite game switch jacket dude pretend homeless person pas pout say spare change good cause,purpose life make stupid noise scare hell people,white,72,,student,2012 06 29 22 44,berkeley california,doesn rsquo kid want,bisexual,like dog like cat,agnosticism laughing,,scorpio doesn rsquo matter,,english fluently spanish okay,single
1162,29,curvy,mostly anything,socially,never,dropped college university,brazilian shy workaholic studying english pretend attend college someday po ible really bi know ve never attracted woman now meet new people hang doesn matter gender prefer think meet people make friend interest find date exclusively one trait website got right competitive love play video game sport know many though lol now worse mannered okcupid think worse mannered lol go rock concert really meet people like play instrument someone play together message used play long time ago practice maybe stay bass,trying attend english school everyday working lot sometimes gym driving car around city work movie theater dvd fun stuff gotta try plan thing,good game win everytime everyone even every game enjoy competition area,maybe accent,reading book cause don find anything nice read don look anything recommend ll give try plus read improve english feel free recommend one love movie comedy drama action child movie ve watching movie everyday sleep great ll watch complete sure ll let continue next day show going show show re talking show rarely watch tv series happened weed way gonna continue lol rock music punk rock hardcore indie metal others style rock roll kind food picky actually hard decide gonna eat restaurant course talking regular food won open eat insect weird part animal,money desire family courage internet communication,bullshit,working finish around midnight usually drive around city,hmmmmmmmmmmmmmmmmmmmmmmm,feel re patient non english language native found mistake grammar single word serious don shy correct even make fun say discourage little bit lol find fun difference language learned want learn new language forget accent re speaking wrong re speaking half sign half speaking open corrected don need correct every word cause boring student necessary play game ping pong video game lol game steam haven playing play something specially team fortress add play musical instrument even though loooong time don play anything learn go concert bay area,middle eastern hispanic latin white,64,,,2012 06 29 17 55,san francisco california,doesn rsquo kid might want,bisexual,like dog like cat,agnosticism somewhat serious,,pisces rsquo fun think,,english okay portuguese fluently spanish poorly,single
1170,33,average,mostly,socially,never,graduated college university,independent high maintenance good way love amp take care feisty amp cute pit bull loyal amp loving treated kindness amp respect watch,waking everyday happy alive amp working company miss someone kiss goodnight,interior design fashion merchandising loving homeless pit bull friend shopping amp buying present,boob amp lip real giggle trying loose kindness nice old people amp stray animal will stop amp help even running late amp cranky holiday work employee don,play cut copy pandora station everyday favorite movie probably bridesmaid favorite old movie house yes moved back nyc rarely go see live show need change invested recording studio sf awhile back enjoy indie band busy watch tv read name favorite book book currently printed good dog ken foster dog believe gonna famous,lipgloss prada sunglass kick as heel pit bull ipad,future business amp foundation creating cute thing,exhausted re charging busy fish taco amp margarita friend,never take mexico unless ve got attorney retainer bodyguard recommend,happy positive nice person won butt hurt plan drunk amp take home first date doesn work looking cool people hang amp stuff,white,61,100000,executive management,2012 06 13 22 14,san francisco california,doesn rsquo kid doesn rsquo want,straight,dog like cat,serious,,aquarius rsquo fun think,,english,single
1172,37,fit,mostly vegetarian,socially,sometimes,graduated college university,ok skinny default world closest friend always guy fall girl next door category guess thing guy far easy along girl see sum one phrase bullshit now older lot woman friend lot energy tend thing quickly loudly total smart as love banter nice agreeable probably don insult offend know ve made fold good fun humor course separate part brain house useless 80 movie quote song lyric yes know nerd majored latin roman ancient history go anyone date must keen sense humor try take life seriously social person love talk girl will belly bar next regular war veteran extract life story lie stand lied level tell truth don respect big girl take skinny world inside much softer admit quite spiritual aiming shed armor let light looking someone help feel grounded beautiful yet go playa feeling drawn burner crowd day probably future nutshell dusting dirt spreading wing want fly way woman whose biological clock ticking think bringing child world big decision best made mutually party involved simply looking someone hold dark everything gravy,constantly improving person recovering workaholic work life balance important interested nutrition mind body spiritual shamanic form alternative healing spare time cook yoga anything outdoors ve completed yoga teacher training currently teach travel high list don town least month rarely happens stir crazy moved oakland now yard fruit tree pretty excited right now project pull ivy ready decent landscaping happening,choose biggest strength say everything heart integrity passion go big go home,laugh hair voice,mean exhaustive list one come mind east eden john steinbeck 100 year solitude gabriel garcia marquez ender game orson scott card better dead original star war series office space jerk anything monty python dazed confused rushmore big lebowski eternal sunshine spotless mind doctor game throne big bang theory daily show colbert report mad men ancient alien wormhole 80 new wave alternative classical jazz rock country hip hop bit everything smith new order cure depeche mode interpol supreme being leisure tool mozart torus amos ani difranco temper trap national stone rose beatles billie holiday catherine wheel pixy belle amp sebastian camper van beethoven modest mouse talking head nine inch nail rogue wave yo la tengo spoon stereolab flaming lip yeah yeah yeahs love good food plan going eat next meal current meal kind food snob won eat fast food,love food sun friend animal music,going fit everything want one day lucky many amazing people life make world better place,ready relax work as week tired work week curling book tv movie computer game feeling social ll happy hour bite eat heading bed relatively decent hour,afraid drain pool drain shower drain kid still don,love animal outdoors don pick nose eat considerate caring towards partner possibly learn everything want one lifetime respect woman don mind nice maybe cheesy thing every now present present knowing ve aspire,white,63,,,2012 06 24 10 31,oakland california,doesn rsquo kid,straight,like dog like cat,somewhat serious,,capricorn matter lot,drinking,english fluently spanish okay,single
1227,40,full figured,mostly anything,rarely,never,graduated two year college,quick wit introverted shy looking friend,succeeding amp laughing surprise,irreverence tenacity writing one word answer,tall,tv thing aaron sorkin comedian dane cook amp bill burr amp angela johnson amp lewis black book somewhere time pillar earth outlander food kind thing easier reveal stand bell pepper,amazon click store everything doesn make go anywhere amp delivers dang gotta love zucchini book sex toy 1st thing last thing google voice voicemail text yes humor better thing put together,behavior change,planning nice outdoor activity tomorrow,love superbowl commercial,enjoy outdoors laugh compassionate know something teach don want take noisy place prefer project errand someone understand non attachement,native american white,70,,executive management,2012 04 21 20 41,pacifica california,kid doesn rsquo want,bisexual,like dog dislike cat,buddhism serious,,sagittarius rsquo fun think,,english fluently spanish poorly,single
1248,32,athletic,strictly vegetarian,,never,graduated college university,love nourish nourished seek people place experience will nourish fill surrendered slave following heart done work trust lead never lead astray surround self others think heart sound bit cheezy heh cheese dork factor going prerequisite part club woman life kitchen nature belief life happenns created kitchen bedroom kitchen hearth home health connection family unit created sure household country girl wild barnyard animal consider one aorund world back now learning harnessing focus new way learning plant root long enough enable thing deepen grow self aware assertive conscious healthy physically active woman alot energy diverse palate interest lot thing know want strive balance possible life appreciate value clarity clear need clear bold passionate personality bold color bold people bold committment dedication totality thing woman walking red road integrity integrity turn don consider big fast talker interested delivery action making thing happen world pleasure giving love give big heart find whole lot funner involved party surrounded generous hearted love give main effective avenue communication non verbal communication show people care action touch gift thing verbal communication important though sometimes way though certainly built muscle raise verbal communication level satisfaction virgo afterall,trying service much possible self employed committed making career transition health field next year seems school never ending past year year settling life created continue create full appreciation blesed state art first world luxurious life magnitude love around great friendship amazing family opportunity amazing experience finally felt stable enough life spill onto young child need direction meaning big sister now mentoring young girl connecting young boy typically father misdirected labeled much organization program help give resource need step fully greatness,following intuition making simple whole food taste delicious cuddling opening trusting assertive taking control forthright knowing surrender playing soccer connecting kid labeled control much mountain biking dancing resourceful creative listening asking help knowing stay balance find way back making people feel loved appreciated following internal compass playing game sort making wilderness,people usually say look regal dog ha perception people hold couldn truth people usually notice straight shooter straight heart matter notice embody health vitality notice deliver talk delivery notice good friend feed nourish people notice leader take charge needed notice comfortable skin strong body notice connected canine companion fur bearing friend notice passionate notice communtity builder bring people together notice animated notice physical touchy feely type gal notice love child animal notice value cherish friendship notice sensual woman veracious appetite many thing notice passionate athletic healthy notice intelligent good street smart,book ahh many year better list favorite author book remember unbearable lightness red tent osho book diet new america food revolution anais nin henry miller realm hungry ghost jack kerouac jack london huckleberry fin red fern grows kill mocking bird black beauty shell silverstein giving tree clifford big red dog spiritual traveling vagabond book hold kid body say macrobiotic book cesar milan book mastering leardership dog holistic nutrition book alchemist pema chodron animal right magazine book movie really certainly list everything now last mohican legend fall kill mocking bird annie hall uncommon valor silence lamb man love woman unbearable lightness conan barbarian cheerleader manhattan fearless blade schindler list waiting city good heart trust flashdance breakfast club star man amistad braveheart dance wolf predator house sand fog vampire diary trueblood anything vampire related,wouldn want without healthy clean simple staple food great dane best boy faithful companion never without nature shrivel little prune music favorite musician pull hard time never without touch love regular basis often think without parent world friend course,getting home melt hottub star coconut bliss peanut butter chocolate ice cream help support inform people nourishing especially whole food will preparing next meal amazing beautiful blue boy dane past partnership learned distant land will travel parent pas will need serious healing make choice support direction going exploring gonna happen fulfill dream getting westfalia move way pattern limit connection truly desire,making dinner preparing cozy watch movie family housemate studying preparing soccer game saturday morning enjoying meal friend catching concert somewhere around bay,incredibly private person try remain transparent part depends know ask,good old fashion trouble comfortable body drawn make rule confident open minded assertive self aware consider dorky side sexy eat teenage boy play banter resourceful make useful know flop squeeze squeezed generous heart explore nature good meal bike warrior heart steward earth care concert goer know vulnerable work live live work take control yet know surrender scrabble snob play game hike cuddle love adore woman femininity love music moved incredibly loving sensual know dirt clean well know want aren afraid go prey preyed woops say absolutely service poet smell good great conversation conscious mindful touch stand thing believe take time thoroughly enjoy every bite food know mean digest food know nourish love moral person think lead heart dork unique style dress well intellectually stimulating value friendship family health know keep balance appreciate animal narcissist stong masculine side balanced feminine side soft tender value honesty strive integrity life,white,68,,student,2012 06 26 08 31,fairfax california,doesn rsquo kid want,bisexual,dog,somewhat serious,,virgo rsquo fun think,,english,single
1274,26,average,strictly vegetarian,often,sometimes,working college university,2009 read human parasite year fascinating seriousness though fairly nice person don arguing fighting enjoy cooking friend painting drawing write socialist labor union paper spare time bike pretty much everywhere biked oregon uhh punk black metal listen fair amount everything,pretty awful social anxiety crowded place usually go unless ve drinking school ba biology don idea ll degree told needed one debt work corporate slave starbucks coffee give part time employee health insurance ve playing awful lot skyrim,whistle throat day never met anyone make food vegan apparently give glass milk ice cream ll clear room ve type diabetic 16 year inject human derived hormone find sell rare book vinyl record though collection rather meager,human possibly edge face handsome david bowie man pretty,book graphic novel book logicomix hellboy novel book random russian history book short story mythology movie akira kurosawa film solaris original version graduate casablanca batman animated series justice league animated series face death etc music asking awful lot black moth super rainbow jawbreaker hot water music forstella ford ten grand burzum zumm zumm grandaddy echo bunnymen chapterhouse,computer insulin diabetic food water air shelter,much dislike customer service job capitalist propaganda,working,preschool parent dress long sleeved shirt slack kid wore shirt short sleeve started pissing wear school replacement clothes thought looked cooler,don need someone constantly inflate ego enjoy spending time home sense humor seriously disgusted dick as vagina joke somewhat prudish probably wont good match looking long term relationship want find someone grow old crusty umm thats,white,74,20000,student,2012 06 30 03 28,oakland california,doesn rsquo kid doesn rsquo want,straight,like dog like cat,atheism serious,,capricorn doesn rsquo matter,,english fluently,single
1286,27,curvy,,socially,sometimes,graduated college university,talker writer love learn see thing new,freelance bookkeeper art history raza study background music art friend fill free time,conversation listening,alot totally remind friend back home,jitterbug perfume 5th element bridesmaid james bond flick classic rock bread butter bob dylan niel young pink floyd name good ol oldie take child hood pasadena 90 hip hop amp sound adolescence ve recently discovered electronic music deep soulful funk house sbtrkt atish sergio santos jamie jones motor city drum ensemble much,friend family music car bike sunshine,unclutter life make happy survive apocalypse,chill friend hit town mellow depends week went,private going share online,intrigue way,hispanic latin white,62,,,2012 06 28 09 17,san francisco california,doesn rsquo kid might want,straight,like dog like cat,laughing,,gemini rsquo fun think,,english spanish fluently,single
1291,59,average,mostly anything,socially,never,graduated college university,bit empty nest syndrome trying figure next 20 30 year,construction,construction,construction,newshour documentary historical piece thomas friedman softball,pb ipad two adorable daughter hot bath ice cream,life,content home,don silly,looking someone spend time,white,71,100000,medicine health,2012 06 29 14 52,albany california,kid doesn rsquo want,gay,like dog like cat,agnosticism,,gemini doesn rsquo matter,,english,single
1313,28,athletic,strictly anything,socially,never,working med school,normal guy looking someone around age spend quality time learning trying fun new thing dancing cooking going baseball game hiking sport traveling ll running around europe fall sort thing stay fit love active every day friend partner similar motivation ideal romantic passionate humorous person bit goofiness mixed know flavor good bad others pretty much par course far humanity go day dreaming hoping making thing happen san franciscan ve told full disclosure meet someone commit support want find often get trouble said something probably change don want one will reap benefit rest ll weed somehow possibly water balloon,working hard studying thing always fluid keeping balance work hospital rent studio city getting fun whenever possible friday play music hospital lobby fun play different theme last week 90 alternative volunteering research using music therapy subject advanced neurological symptom,excellent oncology number algorithm tend adapt quickly salsa dancing battle proven memorizing lyric one liner catch phrase joke veritable sound board sing better 99 999967 world approximately feel trying sell reason awesome know one perfect flaw good authority remembering name small tidbit passive aggressive cat time short attention span latter two aren often related sometimes always mean well good everyone,eye change color smirk lot,foo fighter oasis bloc party dove incubus shin muse tycho mouse parade radiohead modest mouse smashing pumpkin rolling stone brand new ton bubble pop even ok dance situation anything virginia woolf ive read lot classic reading habit choppy unless news medical journal food raised italian family consider abominable organic vacuum anything might cook try,family live think reason way tend happier person cup coffee morning better worse walking city joy best friend back keep honest play mean guitar ask better baseball fan access stats highlight possible without internet thank internet lastly passion whether romantic occupational glad goal happy journey fit nature,somewhere fun go something good eat,studying followed shenanigan,ve actually success met people relationship made fond memory beginning question overall promise site online dating general guess hurt put kind sucker american dream whatever mostly think want family someday picket fence definitely dog time meerkat manor hand favorite show television flower died snake bite legitimately saddening watch,ve got something say something face ve visited twice honestly say hi re looking build toward something long term salsa dancing movie pizza night enjoy game catch hike mountainside message received recently wowow thanks surprised im sure attention given fagot dress wig site fuck yeah plain disgusting don message re disgusting,white,73,60000,medicine health,2012 06 30 02 49,san francisco california,doesn rsquo kid want,straight,like dog like cat,christianity,,aries rsquo fun think,,english spanish okay,single
1332,33,athletic,mostly,socially,never,graduated master program,many friend isn serious relationship wondering let real life meant two refused online dating long time finally caved june 2012 people asked describe term lightening rod may used time time know speak mind want smile sale smile ve known ass first impression quickly personally professionally wrong impression quickly admit wrong considered generous person aspect life especially friendship family love ve told smart beautiful enthusiastic although tend bit quiet need time recharge looking man share vision love family friend ready begin vision see tall man around age 30 40 child employed strong work ethic know fun bit high maintenance strong value intelligent conservative side politically doesn mind sharing household chore handy around house enjoys water dancing salsa club dancing wine tasting gym dog throwing backyard bbqs friend family often looking someone support yet someone looking partnership support life journey,business helping others improve workplace performance consultant various bay area company focusing improving communication leadership presentation favorite sale company team member love facilitating sale program sale game reward high high watch people learn new skill see light bulb go top globally sale within company enjoy life well hike weekend two dog bochy named bruce bochy part italian greyhound part unknown bette miniature pinscher time volunteer miniature pinscher dog rescue group helping place dog may extra little dog running around time weekend volunteer farm milk goat picture friend don believe relaxing humbling time still go club let loose work hard play hard life get boring motto go big go home looking forward traveling next month need europe time little behind schedule gone ve hit every state lower 48 will going hawaii 7th november enjoy baseball hockey game still learning rule hockey love march madness junkie person may disappear long hour lunch watch game week discus dinner,party planning joke parent paid 80k learn mix drink throw party don worry actually graduated degree history love people dinner excellent making people laugh hilarious importantly laugh life short smile laugh even tough time,smile eye change color depending color wear hazel green,movie departed selena pulp fiction music everything book bag elephant ceremony tristin candide fly food salsa steak humas kabob protein bar shake make good salsa steak,lip balm hair rubber band cell phone hate true music dog water,way continue live moment often think next working enjoying now know usual peace middle east saving whale order happy hour seriousness enjoying now way pay le tax manage time better continue build work life balance close big deal working,happy hour friend laid back dinner month family friday go dinner family usually sushi dinner catch,wouldn private,message liked read want explore kind woman take home parent looking one night stand casual dating thing,white,67,,sale marketing biz dev,2012 06 29 23 38,san mateo california,doesn rsquo kid,straight,dog,christianity serious,,aries rsquo fun think,,english,single
1334,32,thin,mostly vegetarian,rarely,never,graduated college university,easy going person spend free time hanging friend watching movie reading working gym fashion traveling meeting new people meet guy smart career oriented know treat woman,work sale rep open clothing store lot friend close family visit often even though live couple hour away travel haven outside yet except mexico know lame,good friend cooking kissing,smile time people always comment,romantic comedy action thriller anything make laugh really confess reality show people bash guess honest,friend family fashion iphone book,okcupid lol,dancing le le day friend married find someone spend friday night,little self conscious putting photo guess little shy,nice smart successful looking something serious please don waste time,white,66,50000,sale marketing biz dev,2012 06 29 21 50,san francisco california,doesn rsquo kid want,straight,like dog cat,christianity somewhat serious,,libra rsquo fun think,,english,single
1346,20,curvy,mostly,socially,never,working college university,well pretty radical guess sweet person fun talk easy going artistic generally happy lot offer others considering ultimately free lifestyle thinking acting oneself regret keep mind outside reaction elemental persecution given regarding innate human deficiency accept difference see essence learning brought newer undesirable attention span quick soul,figure worth semicolon atmosphere temperate flag take deny surprise factor uninhibited truth simultaneous vessel created dismantling,never apologize saying feel saying sorry real nothing child heart,eye smile sense humor,book whisper dean koontz stuff well movie nightmare christmas silent hill fight club salton sea girl interrupted others show adventure time regular show shin chan invader zim office etc music lot food pescatarian fish end,water food air sunlight sleep etc,time acid tear existence,know always surprise,want eat heart,real person thought feeling included partner crime fellow lover adventure someone happy pleasant around personality substance defined single paragraph overall awesome will along hold hand long attention span,white,65,1000000,artistic musical writer,2012 06 28 16 51,san francisco california,doesn rsquo kid doesn rsquo want,bisexual,like dog cat,buddhism somewhat serious,,taurus doesn rsquo matter,,english fluently,single
1372,64,average,anything,socially,never,graduated college university,biggest adventure youngest journalist cover vietnam war still adventurous soul insatiable desire knowledge knack entertaining life experience many varied addition year journalist worked senator lloyd bentsen texas organized many event democratic national committee organization washington spent several year free lance public relation work managed large real estate office chicago suburb landscape designer moved california daughter family live west marin important friend tell kind honest loving fun great sense humor brings laughter life love cook entertain frequently moved knew one started book club girl night group make new friend now ve joined several meetup group love spend time volunteering couple organization ll see good balance responsible spontaneous love work landscape designer spend lot time outdoors many interest including art movie book live theater music travel environment politics much technical stuff good appreciate,landscape designer practice currently looking option ve done lot volunteering currently master gardener museum docent moved chicago 14 year ago plan stay forever,working people capacity cooking entertaining gardening public speaking writing photography,fun smart interesting warm affectionate,love good short story new yorker subscriber 40 year anything paul bowles boyle tracy kidder arundhati roy barbara kingsolver top favorite list lot movie mostly independent foreign show go live theater berkeley rep marin theater company well cal performance many kind music far food go enjoy everything except goat cheese sushi squishy texture,family friend love beauty nature northern california dog learning,want rest life help others,movie play entertaining home dinner friend date even enjoying quiet night home,tell later,much thirst adventure confident kind interesting fun love travel art theater definite plus tend drawn men quirky intelligence unafraid pursue want life age physical look don matter much attitude want someone aim squeeze every last drop life hope passion tempered desire build relationship one person someone isn overly conservative doesn dwell woe world ready start exciting new chapter life looking,white,66,,,2012 06 25 14 31,novato california,kid,straight,dog like cat,agnosticism serious,,libra doesn rsquo matter,,english fluently spanish poorly,single
1377,33,athletic,mostly anything,socially,never,working ph program,fascinating passionate creative people sport great game great climbing mountain rocking festival soccer coffee bar backdrop real fun good people going new place big world think spending 11 month year inside right love adventure incredibly big fan chilling comfy spot book game movie music ice cream dream whatever want variety fractal kind way want variety much variety utter chaos interspersed simplicity amazing person re passionate something life ll even happier building something together touch re looking travel buddy finishing phd summer planning trip starting new job probably going visit friend london amsterdam zurich berlin first uganda bangalore beijing conference japan fun place,enjoying living san francisco amongst many amazing folk bright light big city concentrated fun code whats yer job make camera know re looking something say new camera probably focus people instead tree don stuff,cooking smiling snugglin massage ultimate frisbee rock climbing go board game surprise geek hula hooping tango may soon belong list ve going dancing couple time week lately fun fun two learning thing send note teach something new,half happy go lucky cat hat profile name half strong silent type time,best art take new world seems strange exciting leaf amazed much stranger reality love love book almost anything nick horby haruki murakami dostoevsky herman hesse dave egger write earnest character storytelling podcasts american life radio lab moth truth stranger fiction movie big fish fight club jet li fantastical archetype reacting uncertain world music lady dottie diamond mile davis 70 velvet underground george clinton energetic heartbeat chasing melody food food job delicious peach amp pear avocado amp cheese thick steak bbq rich curry spicy spice thing chocolate rich sensational sensuous flavor lot fun kitchen,people sun time breathe novelty music chocolate milk,self ask important,used big art collective party friend friend houseparties dinner june ll often working finish phd,halftime dating game looking relationship built last,re incredibly sweet re passionate driven re brilliant re affectionate beautiful smile,white,72,,science tech engineering,2012 06 30 00 51,san francisco california,doesn rsquo kid want,straight,like dog like cat,judaism serious,,aquarius doesn rsquo matter,,english fluently french okay spanish okay,single
1379,23,curvy,mostly anything,socially,never,graduated college university,environmental study student state worker concert lover traveler soccer watcher bay area transplant really cat may due fact name cat,trying enjoy sometimes school work way week away finally graduating yeeah guess ll find real grown job summer trip europe,listening making people laugh,first may notice quiet white teeth ve got talking smiling,book usually read one required school environmentally related quite interesting enjoy young adult fiction twilight hunger game don judge read lot news article day work news interesting movie genre except horror ring grudge saw type favs inglourious basterds saving private ryan clueless kick as little miss sunshine bridesmaid men first class rocket science inception social network toy story ocean 11 drive child men jurassic park back future tele office 30 rock park rec community raising hope arrested development forever living dvd survivor snl daily show mad men walking dead amp breaking bad occasional monday night raw world dumbest criminal isn bad either music enjoy pop music love rock indie folk will support band good full album amazing live show taste music mine one specific band really mucho mumford son muse green day vampire weekend academy rip silent film val emmich city color king leon bruce springsteen girl talk best coast old crow medicine show fleet fox matt costa franz ferdinand scientist 311 food probably go anywhere find something ll,good music pair chuck family cat written word amp green open space,future hell going current event important past got learn much money spend concert food fun traveling still able pay rent life will move san francisco course upcoming zombie apocalypse,driving river city see family sf see friend barting berkeley see friend rarely stay place called hayward weekend,don beer ve never rock climbed,keep conversation common interest learning new thing re funny,,66,,political government,2012 06 29 15 29,san francisco california,doesn rsquo kid,straight,like dog cat,atheism serious,,virgo rsquo fun think,,english fluently spanish poorly,single
1382,35,full figured,mostly,socially,never,graduated college university,love travel dance socialize go quiet summery ocean beach walk cold rainy walk fall winter believe enjoy season year see bay area travel catch world good movie interesting follow music life long partner cooking love one many thing love relaxes follow recipe use measuring cup taste food cooking served plate see people reaction say mostly great need great positive energy love around many thing interest list love sailing,breathing living waking brighter day every day,loving world positive way,good heart positiveness,many count,hope love passion nature creation forgiveness,tomorrow will bring human,single happy hour friend dinner resting relationship dating dinner movie sitting fire,fact love self love life willing love world,willing honest want don bother,hispanic latin white,72,,,2012 06 30 02 43,oakland california,doesn rsquo kid want,straight,like dog like cat,,,leo doesn rsquo matter,drinking,english fluently spanish fluently italian poorly,single
