,age,body_type,diet,drinks,drugs,education,essay0,essay1,essay2,essay3,essay4,essay5,essay6,essay7,essay8,essay9,ethnicity,height,income,job,last_online,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
196,26,average,anything,socially,never,graduated college university,grew manhattan went away colorado college continued westward traveling bit landed san francisco moved around lot past two year subletting sf east bay spent good part last year farming new zealand now back pursuing massage excited settle least,got certified massage practitioner looking work thinking finding place teach yoga finally two year finishing teacher training,overthinking thing making breakfast especially love cook anytime definitely good eating listening people writing letter crossword puzzle coffee cafe although altogether successful finishing puzzle ny time snob well guess think pretty good giving massage,hmmm silly question maybe smile hair,cutting stone lolita fine balance moveable feast half broke horse animal dream pablo neruda william stafford naomi shihab nye many love going movie don know 80 soem great one big chill il postino koyaanisqatsi blew mind high school kindergarden cop princess bride shawshank redemption downton abbey madman felicity food begin ve become california food snob living music fat freddy drop aloe blacc mayer hawthorne good tanyas lia ice trinity root sam cooke regina spektor ray lamontagne coco rosie bon iver,avocado reading sunshine ice cream traveling family friend,something love make difference people life next meal morning cappuccino read everything want read start riding horse,oh friday isn terribly different night week maybe going dinner friend cooking meal home maybe staying watching movie going drink getting away weekend camping visiting friend family,question even,know better wear helmet biking re gentleman sometimes take lady nice dinner want inspired want inspire,white,66,,,2012 07 01 08 14,oakland california,doesn rsquo kid might want,straight,like dog like cat,,,virgo rsquo fun think,,english,single
206,27,skinny,mostly vegetarian,rarely,sometimes,graduated college university,hello pretty easy going guy kinda shy along people hike ride bike go walk jog read watch good movie play listen music life make sense traveling,right now working two non profit organization one outreach homeless youth san fran street outreach based harm reduction organization syringe exchange safe sex supply etc best take care mental physical health exercising eating healthy meditating journaling struggling finish writing song bored,listening people,sincere laid back kinda quiet kind,book author hunter thompson kurt vonnegut kate chopin adrienne rich arundhati roy micheal muhammad knight herman hesse edward abbey rumi music neutral milk hotel time favorite jeffrey lewis mum animal collective gerbil sonic youth slowdive bloody valentine darkthrone botch om face face jawbreaker godspeed black emperor wu tang gravediggaz jurassic many many movie show director harry tonto harold maude light take eternal sunshine spotless mind wes anderson crow pi bob burger american dad kevin smith tim burton though kinda thing lately,air food water three,life purpose,go occasional show love music watch movie cook food friend sit home eating milk cooky maybe put netflick really bar unless show going,pick nose lot wash hand lot,wanna chat hang,white,70,,,2012 06 30 19 35,oakland california,doesn rsquo kid,straight,like dog like cat,serious,,sagittarius rsquo fun think,sometimes,english french poorly arabic poorly,single
207,56,athletic,mostly anything,socially,never,graduated master program,ve taken bit time ponder effectiveness okcupid extensive questionnaire came conclusion think re great job trying find partner come finding love 300 question like dislike isn going achieve goal given day cute smile will trump comparable cultural belief show sexy worked body match friend enemy ratio fly window doubt intelligent gay man social website disagree assessment love much art social science regardless fun worth pursuing happy hunting,trying finish doctorate program working part time figuring wanna rest life plan retire love stay busy,really good cooking gardening school massaging meditating especially good listening,bad attitude hide sincere love people height build 216 love gym,zen book sci fi movie elo roy orbison anything edible consume,specific order spirituality cup tea physical fitness willingness learn friend ability love deeply,achieving enlightenment,ll go bed early extends sleep early riser regardless day week saturday sunday monday think point sometimes friday trying new restaurant foodie,sexual prowess love sex affection,ex military good restaurant sport great sex,hispanic latin,74,,medicine health,2012 06 29 06 36,san francisco california,doesn rsquo kid might want,gay,like dog like cat,christianity serious,,aries rsquo fun think,,english fluently spanish fluently italian poorly,single
218,49,athletic,mostly vegetarian,socially,sometimes,graduated college university,happy new year hm think im going sail away kinda wanna hang around fool around build dome city norcal full loving burner burlesquers sound worth well im relaxed peaceful eclectic renaissance bohemian studied science music poetry practiced art philosophy unified field physic sacred geometry im sailor san francisco bay golden gate calling north anything fun vansterdam snowboarding really inside im year old lao tzu let go plaay lt,broke fix feminine young defend musical record corrupt bring light work goddess love year headed build crew burning man camp started lounge jazz act called dr zeus record label called angel wing record,math producing cd playing trombone snowboarding going building house ice hockey making omelette,smell best bud look manly skirt smile eye,tao te ching now 2001 thrive ethos matrix miazaki funk phish chill sushi thai ipa,three awesome enlightened kid trombone snowboard,activating light octave harmonic star tetrahedron earth grid new resonance pattern practical solution weathering global fundamental economic social paradigm shift coming new relationship new place love,recording sleeping seeing live music dancing great family burner dj,life short love right now dont hestate let know,norcal snowboard enjoy music look sound fun weird look forward,white,69,30000,entertainment medium,2012 06 26 20 11,sausalito california,kid,straight,dog like cat,laughing,,scorpio rsquo fun think,,english french poorly spanish poorly portuguese poorly,single
233,46,fit,mostly vegetarian,socially,never,graduated college university,meow actual cat probably swirly calico lot bold color black orange white don pastel timid house full bold brightly colored wall inspired favorite getaway sunny relaxing mexico 13 year yoga given mean backbend patient open heart flexing body favorite yoga pose ll find throwing ball pooch walking cat around fabulous marin neighborhood call home travel taken rice paddy bali safari south africa beach mountain mexico hawaii much world explore right travel buddy considered social change agent thousand ve never met ready change world now ve given voice countless kid helped improve life ve lucky wear two deliciously rewarding career hat past decade time focus attention special man truly light fire manage find grounded guy act together man ready commit time right tell man want equal partner grow laugh know consciously savor time together revel devising spontaneous surprise will keep bond fresh want show amazing woman got back 24 woman heart passion commitment giving back big ol world run around,hiking practicing yoga making time opening trusting enjoying bounty northern california living counting blessing every day alive healthy loved connected safe employed well fed,spontaneous listening giving backrubs inspiring people seeing glass half full finding travel deal reading line drawing medium attention injustice,don know somewhere either whole bunch twin roaming globe high profile celebrity past life lot comment big brown eye,ill take list descending order based preference bit foodie especially enjoy thai indian seafood healthy california fare reading michael pollan defense food ve overhauled diet bit don worry ll respect individual food choice long don drag burger king expect eat love great singer songwriter including michael franti ben harper ray lamontagne jack johnson keb mo india arie natalie merchant jerry garcia van morrison bob dylan plus james brown stevie wonder funk mc yogi lotsa blue mile davis select jazz john sayles flick never disappoint love good solid drama thriller mostly love film emotional impact strong character development linger day afterward ll come back later list faves beginning find time read book gasp know sound illiterate admit honestly rather spend time socializing people instead curling alone hour book daily scanner new york time read write day work rest assured ll keep dinner party conversation,warm sunshine meaningful connection yoga bliss furry friend nature hike worthy cause,change constant life best befriend power synchronicity intention will meet now actively looking difference one person make life others blowing lid biggest human right scandal america,friend catching movie another city playing pup park,recently getting active site,re looking meaningful relationship re turned self assured woman great sense humor re active re fellow yoga lover re consciously making world better place parenting work extracurricular passion bonus point knowing want life favorite quote hang fridge sum attitude life boldness genius power magic,white,66,,political government,2012 06 30 18 29,san rafael california,doesn rsquo kid,straight,dog cat,buddhism serious,,scorpio rsquo fun think,,english fluently spanish okay,single
274,31,curvy,mostly,,never,graduated college university,raised traditional grandma big city traveled around world yup im military brat,paying forward community based organization thinking impact world generation now,writing making jewelry dancing traveling,talkative eye lip body shape,movie smoke signal riding ghost insight frida tv met mother thing watch tv thats cuz netflix got hooked avatar music northern cree food viet hot sour soup love asian food chinese japanese thai etc love going japantown downtown eat book militarization indian country winona laduke red tent love book,food rounddances sweat prayer picking plant family friend,world,something community,nothing internet,want know better person esp go eat outdoor activity,native american pacific islander,63,,,2012 07 01 02 18,san francisco california,doesn rsquo kid want,straight,like dog dislike cat,christianity,,libra rsquo fun think,,english fluently poorly,single
275,31,full figured,mostly anything,socially,never,graduated two year college,ve stuff life always come top better experience taught lot reason today independent woman good job family etc missing man life rock soulmate provider protector believe worth thing besides child missing life looking forward next chapter,working way ladder work hard worker job looking forward buying home next year ready done apartment living love spending free time family friend quiet night home,making people laugh laughter important key happiness,idea tell,last book read act lady think man want go see movie soon huge reader really love everything come music,god family friend love laughter honesty,next chapter life will continued,home family friend,looking booty call one night stand keep movin,basic common see,hispanic latin white,64,,computer hardware software,2012 06 30 18 58,hayward california,doesn rsquo kid want,straight,like dog,christianity somewhat serious,,aries rsquo fun think,trying quit,english,single
308,32,average,mostly anything,socially,never,graduated college university,hard explain awesome go pretty much good outlook life try work hard play hard much possible even though sound cliche enjoy cooking hiking time gym riding motorcycle traveling ive known play bit video game well watch movie tend include dramatic people life try acceptable many people possible great friend good life im blessed hard work brought today try surround right people keep moving forward,im striving person dog think im currently career real estate agent primary practice financing id say im going stick 10 year travel xdlshow putting street freestyle competition nation pretty much help competition run smoothly go lot cool place,im good quite thing chose thing im really good riding probably top list love motorcycle riding whenever chance check picture see im fancy pretty good cook try cook something new least week,im really sure probably confidence blue green eye guess depends youre looking,book douglas adam hitchhiker guide galaxy random michael crichton book occasional comic book movie super trooper fight club greek step brother old school gran torino horrible boss etc etc etc show shield league son anarchy alcatraz getting one archer call fitz pawn star shameless house lie dexter walking dead im sure im missing food try eat healthy regular basis guess main staple diet chicken fish kale beet asparagus occasional rib eye love sushi love try new restaurant whenever chance,cell phone weird job really revolves around try misplace mom mom great person wonderful mother life id hate puppy love dog little furry child make smile friend whats life without entertainment club love family brother many mother bike give hour entertainment hell lot pleasure,think future lot hold take control make work id say random one think everyone daily basis,depends night id say im either hanging good friend house watching movie im local bar putting beer back buddy used nightclub thing back day think im going day either bar fun destination night,age 11 audited parent believe discrepancy grounded,think im worth talking,white,73,250000,banking financial real estate,2012 06 28 18 46,lafayette california,doesn rsquo kid might want,straight,dog,christianity serious,,pisces doesn rsquo matter,,english fluently,single
320,42,athletic,mostly,,never,graduated college university,human earth experience body along myriad life experience come good bad co exist peaceably world darkness amp light want save underdog world make impact meaningful way compassion sentient being connected something greater love heart amp grow way couldn imagine want laugh smile cry kiss grow jump climb orgasm blink run play amp eat want meet someone will enhance life amp,living life life term grateful everyday life family friend etc love career great hr work recruiter hr generist high tech medium great relationship cultivate work end day want everybody want life love amp acceptance following passion rock climbing love help grow develops core go faster longer stronger self improvement better quality life hope write something get published start business becomes successful star tv motion picture role staying healthy across many level amp saving world person time,human sex rock climbing kissing rock climbing volleyball rock climbing acting improv rock climbing camping hiking rock climbing snowboarding rock climbing drawing superheroes rock climbing writing rock climbing good uncle son brother nephew cousin rock climbing flying rock climbing connecting people rock climbing making people laugh rock climbing,face eye teeth leg,neverending story snow crash lord ring heal life return love say anything dream may come running empty fame flashdance contact talisman codependent harry potter xmen trilogy prayer owen meany running empty notebook norbit superbad avenger hunger game iron man super bad knocked star war avatar exorcist paranormal activity dexter walking dead weed glee lost true blood think dance,smart phone contact lens rope food amp water human being,rock climbing skydiving family friend career making film food cooking rockclimbing rockclimbing extreme sport deep water soloing thailand rockclimbing camping movie writing recruiting talented people work facebook flying cute men kissing boyfriend love amp rock climbing want boyfriend will rock climb learn like spend time outdoors traveling,indoor rock climbing work seeing movie hanging friend renting dvd amp sometimes going town travel camping amp climbing wanna go,ive got kinky side,want meet dynamic passionate amp adventurous dude guy nice well adjusted smart amp funny guy easy eye doesn smoke take care guy thing comfortable self confident romantic good relationship friend amp family bar scene drug nice teeth humble open adventure like outdoors willing creative bed prefers monogamy amp communicates love kissing,hispanic latin white,72,150000,,2012 06 28 12 27,san francisco california,doesn rsquo kid,gay,like dog,christianity serious,,taurus rsquo fun think,,english fluently japanese okay spanish okay,single
336,57,little extra,mostly anything,socially,never,graduated college university,fortunate person house san francisco good job leisure enjoy good thing northern california offer know supposed write something sunset puppy dog walk beach point online dating thing new perhaps ll figure write later may bit quiet first meet open wicked sense humor somewhat kinky way looking world,earn daily bread technical writing working enjoy photography watching old movie tv show via netflix enjoying san francisco hanging house enjoy board card board game scrabble cribbage yahtzee heart don play nearly often,technical writing listening people introspection warmed pun verbal repartee,don know ve never asked anyone question,movie fond hollywood move 1930s early 1960s favorite include casablanca top hat philadelphia story sound music wizard oz maltese falcon movie humphrey bogart katherine hepburn cary grant james stewart audrey hepburn ginger rogers book ve using audio book enjoy patience sit read great expectation war peace moby dick jane eyre middlemarch bible non fiction work richard dawkins book churchill history english speaking people occasionally non fiction work really eye opening different loving music don listen much likely choose classical music especially bach beethoven haydn mozart jazz,basic physical need met reluctant without internet photography audio book netflix cd toy bag ask dare impact sensational aspect,way better balance work life work important enjoy job looking way find new creative thing explore much see northern california many thing enjoyable shared companion sort woman attracted open minded relationship strong loving personality willing explore relationship unconventional way,varies week week following enjoying company friend social club going dinner watching movie home going bed early refreshed ready enjoy weekend,published internet wouldn private longer,anything profile stimulates interest enjoy engaging conversation man find intelligence sexy enjoy sensation play edge sometimes feel giving receiving spanking,white,68,,computer hardware software,2012 06 30 09 14,san francisco california,doesn rsquo want kid,straight,like dog,agnosticism,,gemini,,english fluently french poorly,single
346,34,athletic,mostly anything,socially,never,graduated master program,witty outgoing guy like see positive every situation love make people laugh accused perma smile consider good thing recently moved sf spending year budapest close friend family looking forward meeting new friend hobby include soccer snowboarding scuba diving roller hockey salsa dancing enjoy playing pretty much sport love trying new thing now sf excited try surfing yeah yeah know midwest kid move cali want surf passionate travel visited 50 country across continent 150 go,currently working management consultant hope one day start company besides work spend time hanging friend traveling new place,sure really good pretty good sport cook,always smiling,variety list long write,family friend fun need,purpose life truly important,friend grabbing drink meeting new people,ask anything shy,want laugh good time,white,70,150000,executive management,2012 06 28 22 09,san francisco california,doesn rsquo kid want,straight,like dog,judaism serious,,gemini doesn rsquo matter,,english fluently japanese poorly,single
381,21,athletic,anything,socially,sometimes,graduated high school,young wild free,im currently working club sandwich shop making money,im good lot shit making people feel good showing people good time getting fucking party started thing taking care surviving spittin flow every now,ability great time,listen rebelution stalin bob marely bassnector mac miller lil boosie jacka andre nickatina mac dre 40 tupac al green temptation dirt nasty kreashawn movie notebook high next friday menace society dogma detroit rock city bad santa italian job sucka free grandma boy ect food love cooking ll eat anything,family money marijuana food water good time warm place sleep,next big move,good time friend making money,ill tell private,want talk mother fuckin fun,,73,20000,sale marketing biz dev,2012 05 15 22 16,hayward california,doesn rsquo kid might want,straight,dog like cat,christianity,,aquarius rsquo fun think,yes,english fluently,single
